ID,Nombre,Descripción,Región (CCAA),Año,Vertical,Subvertical,Tecnología,ODS principal,Tipo de impacto,Indicador de impacto,Escala de impacto,Población beneficiada / target,Diversidad del equipo,Nivel de madurez,Inversión total (€),Contacto,Web,Fuente de información
11,KeepCool,"Desarrolla soluciones tecnológicas (filtros, recubrimientos, cámaras) para prolongar la vida útil de frutas, verduras y flores, evitando el desperdicio alimentario. Nacida en Molina de Segura, ha optimizado la cadena de frío para reducir toneladas de comida desechada.",Región de Murcia (Murcia),2015,Foodtech,Postcosecha (conservación),"Tecnologías de frío, filtros anti-etileno",ODS 12 – Producción y consumo responsables,Ambiental,+1.5 M de cubiertos plásticos evitados (cucharas comestibles) (ejemplo impacto Gloop)¹,Nacional,"Productores, distribuidores y supermercados",N/D,Growth,N/D,N/D,keep-cool.es,EcosistemaStartup
12,Ikos Tech,Soluciones de IoT e IA para riego que ayudan a agricultores a gestionar eficientemente el uso de agua y fertilizantes en cultivos. Sensores y plataforma de datos que optimizan el riego de precisión en tiempo real.,Andalucía (Almería),2018,Agrotech,Agricultura de precisión,IoT (sensores) + IA,ODS 6 – Agua limpia y saneamiento,Ambiental,Hasta 50% ahorro de agua (en cultivos piloto),Nacional,Agricultores de cultivos intensivos,N/D,Growth,N/D,N/D,AgroBank/El Referente,Otros
13,Ixorigué (Ixorigue),"Digitalización de la ganadería extensiva: collares inteligentes GPS y big data para monitorizar ubicación y estado del ganado bovino en extensivo, mejorando la gestión y bienestar de animales y ganaderos.",Aragón/Madrid,2019,Agrotech,Ganadería (extensiva),"IoT (collares GPS), Big Data","ODS 9 – Industria, innovación e infraestructura",Económico/Social,800+ reses monitorizadas (2023),Nacional,Ganaderos de bovino extensivo,N/D,Growth,~1.0 M€,N/D,ixorigue.com,ElReferente
14,Lucas Biotech,"Desarrollo de biofertilizantes y bioestimulantes a partir de biotecnología, logrando nutrientes más biodisponibles y mejorando el medio de producción agrícola. Productos orientados a fertilizar cultivos de forma más eficaz y sostenible.",Región de Murcia (Murcia),2019,Agrotech/Biotech,Insumos agrícolas,Biotecnología agrícola,ODS 15 – Vida de ecosistemas terrestres,Ambiental,– (Mejora rendimientos sin químicos),Nacional,Agricultores (sector fertilizantes ecológicos),N/D,MVP,N/D,N/D,AgroBank/El Referente (AgroBank 2025),Otros
15,Bisari,"Servicio agrícola basado en pulverización electrostática: ha desarrollado un nuevo sistema de polinización asistida para cultivos, mejorando la eficiencia de la polinización en invernaderos y campos.",Andalucía (Granada),2019,Agrotech,Equipos agrícolas,Electrostática aplicada,ODS 2 – Hambre cero,Ambiental/Económico,+15% incremento de cuaje (estimado),Nacional,Agricultores de hortícolas/árboles frutales,N/D,Growth,N/D,N/D,AgroBank/Servimedia,Otros
16,Bumerania Robotic,"Desarrolla robots agrícolas autónomos para desyerbar campos de hortalizas de forma escalable y sin químicos. Su robot, alimentado por energía solar y eólica, navega entre líneas de cultivo eliminando malezas de manera sostenible.",Comunidad Valenciana (Alicante),2020,Agrotech/Robótica,Robótica agrícola,Robótica autónoma (solar/eólica),ODS 7 – Energía asequible y no contaminante,Ambiental,0 uso de herbicidas químicos en cultivos piloto,Nacional,Hortelanos y agricultores de hortalizas,N/D,MVP,N/D,N/D,AgroBank/Servimedia,Otros
17,Nomad Solar Energy,"Creó el primer generador fotovoltaico móvil: se despliega en <2 horas y puede conectarse a generadores diésel, baterías o red. Proporciona energía solar portátil para explotaciones agrícolas remotas, reduciendo uso de combustibles fósiles.",Comunidad de Madrid,2020,Agrotech/Energía,Energía renovable,Generación solar móvil,ODS 7 – Energía asequible y no contaminante,Ambiental,– (100% energía renovable en campo remoto),Nacional,Agricultores en fincas sin red eléctrica,N/D,Growth,N/D,N/D,AgroBank/Servimedia,Otros
18,Bihox (Waterhox),"Fabrica equipos de oxigenación del agua que, mediante fotocatálisis, tratan aguas de riego agrícolas y efluentes. Su tecnología reduce patógenos y mejora la calidad del agua en distintos procesos agrícolas, fomentando la reutilización de agua.",Asturias/Andalucía,2020,Agrotech,Agua/Regadío,Fotocatálisis (tratamiento agua),ODS 6 – Agua limpia y saneamiento,Ambiental,– (Desinfección agua de riego sin químicos),Nacional,Agricultores (riego) y empresas agroindustriales,N/D,MVP,N/D,N/D,AgroBank/Servimedia,Otros
19,RawData,"Plataforma ERP agrícola para centralizar gestión integral de explotaciones: cultivos, inventario, tareas y administración agrícola. Permite manejar todos los aspectos críticos de la gestión de cultivos de forma digital y en tiempo real.",Cataluña (Barcelona),2018,Agrotech,Software agrícola,"ERP, Big Data","ODS 9 – Industria, innovación e infraestructura",Económico,– (Ahorro tiempo administrativo >30%),Nacional,Empresas agrícolas medianas y grandes,N/D,Growth,N/D,N/D,AgroBank/El Referente,Otros
20,Protiberia,Empresa biotecnológica que transforma residuos orgánicos vegetales de otras industrias alimentarias en materias primas (proteínas e ingredientes) para alimentación animal y agrícola. Fabrica proteína sostenible a partir de desechos vegetales.,Castilla–La Mancha (Albacete),2019,Agrotech/Biotech,Economía circular,Bioprocesamiento de residuos,ODS 12 – Producción y consumo responsables,Ambiental,– (Toneladas de residuos valorizados),Nacional,Sector de alimentación animal y fertilizantes orgánicos,N/D,MVP,N/D,N/D,AgroBank/Servimedia,Otros
21,Ingredalia,Recupera ingredientes saludables desde subproductos de la industria agroalimentaria (p. ej. desperdicios vegetales) y los convierte en nuevos alimentos. Ejemplo: ha desarrollado ingredientes funcionales a partir de residuos de brócoli.,Navarra,2018,Foodtech,Ingredientes sostenibles,Upcycling (revalorización residuos),ODS 12 – Producción y consumo responsables,Ambiental,– (Residuos vegetales convertidos en ingredientes),Nacional,Industria alimentaria (fabricantes de alimentos funcionales),N/D,Growth,N/D,N/D,AgroBank/Servimedia,Otros
22,Neoradix Solutions,"Desarrolla soluciones hardware+software para automatización de procesos agroalimentarios, enfocándose en indoor farming y cultivos controlados. Sus sistemas integran sensores y robótica para optimizar tareas en invernaderos y granjas verticales.",Murcia,2018,Agrotech,Automatización agrícola,"IoT, Automatización","ODS 9 – Industria, innovación e infraestructura",Ambiental/Económico,– (Aumento productividad en indoor farming),Nacional,Productores en invernaderos y agricultura vertical,N/D,MVP,N/D,N/D,AgroBank/Servimedia,Otros
23,Agerpix,"Emplea Big Data, IA y Machine Learning para reunir datos y estimar rendimientos de cultivos leñosos. Su solución captura imágenes de árboles frutales para contar fruta y predecir cosechas con alta precisión, ayudando a decisiones más eficientes.",Castilla y León (Soria),2014,Agrotech,Agricultura de precisión,"Visión artificial, IA","ODS 9 – Industria, innovación e infraestructura",Económico,±5% margen error en estimación cosecha (pruebas),Nacional,Fruticultores e industrias frutícolas,N/D,Growth,~0.27 M€,N/D,agerpix.com,ElReferente
24,Odins,"Desarrollo de software y fabricación de hardware agrícola para detección de plagas y enfermedades mediante imágenes. A partir de una simple foto de la planta, su sistema identifica problemas fitosanitarios y recomienda acciones al agricultor.",Región de Murcia (Murcia),2020,Agrotech,Fitopatología digital,Visión artificial (plant health),ODS 2 – Hambre cero,Ambiental/Económico,– (Reducción pérdidas por plagas),Nacional,Agricultores (especialmente hortícolas),N/D,MVP,N/D,N/D,AgroBank/Servimedia,Otros
25,Altavitis Technologies,"Startup de alta tecnología vitivinícola: aplica IA, sensores proximales y visión por computador para monitorizar viñedos. Sus sistemas detectan variabilidad intra-parcela en tiempo real, optimizando labores en viña y calidad de la uva.",La Rioja,2018,Agrotech,Viticultura de precisión,"IA, Sensórica, Visión artificial","ODS 9 – Industria, innovación e infraestructura",Ambiental/Económico,– (Mejora eficiencia manejo viñedos),Regional,Bodegas y viticultores,N/D,Growth,N/D,N/D,AgroBank/Servimedia,Otros
26,Agrosingularity,"Economía circular agroalimentaria: transforma excedentes y mermas de cosechas en ingredientes en polvo de alto valor para la industria alimentaria y cosmética (colorantes, saborizantes, micronutrientes).",Región de Murcia,2019,Foodtech,Ingredientes upcycled,Deshidratado & pulverización,ODS 12 – Producción y consumo responsables,Ambiental,1.07 M€ inversión semilla para escalar,Nacional,Agricultores (comprando excedentes) e industrias alimentarias,N/D,Growth,~1.07 M€,Álvaro García (CEO),agrosingularity.com,StartupsReal
27,Groots,"Especialista en agricultura vertical e hidropónica: diseña granjas verticales modulares para producir microgreens, hierbas y vegetales de hoja cerca del consumidor, con menos agua y sin pesticidas. Ofrece también kits y asesoría para agricultura urbana.",Cataluña (Barcelona),2018,Agrotech/Foodtech,Agricultura vertical,"Hidroponía, Indoor farming",ODS 11 – Ciudades y comunidades sostenibles,Ambiental,90% menos agua vs. cultivo tradicional,Nacional,"Restaurantes, retailers y agricultores urbanos",N/D,Growth,~0.5 M€,Jaime Martínez (CEO),groots.tech,ElReferente
28,Gloop,"Fabrica cubiertos comestibles (cucharas, pajitas) para sustituir plásticos de un solo uso en restauración. Sus productos veganos y biodegradables evitan residuos plásticos, mejoran la experiencia del consumidor ("usar y comer" la cuchara).",País Vasco (Bizkaia),2021,Foodtech,Packaging sostenible,Alimentación (edible packaging),ODS 14 – Vida submarina (reducir plásticos),Ambiental,1.5 millones de cubiertos plásticos evitados,Nacional,"Sector HORECA (heladerías, cafeterías, catering)",Cofundadora 50% (M. Maneja),Growth,0.54 M€,Marta Maneja (CEO),gloop.site,ElReferente
29,Cocuus,"Usa impresión 3D alimentaria y bioingeniería para crear alternativas plant-based a productos cárnicos y del mar (como bacon vegano impreso en 3D). Su tecnología permite elaborar alimentos análogos con apariencia, sabor y textura realistas.",Navarra (Navarra),2017,Foodtech,Proteína alternativa,"Impresión 3D, Biotech","ODS 9 – Industria, innovación e infraestructura",Ambiental,Primer bacon vegetal 3D en retail (2023),Internacional,"Industria alimentaria, cadenas de supermercados",N/D,Scaleup,~2.5 M€,Patxi Larumbe (CEO),cocuus.com,Otros
30,Novameat,"Pionera en carne vegetal impresa en 3D: desarrolló filetes y trozos de proteína alternativa con microestructuras que imitan la carne animal. Su tecnología de extrusión imprime matrices de proteínas vegetales (guisante, arroz) simulando fibras musculares.",Cataluña (Barcelona),2018,Foodtech,Proteína alternativa,"Impresión 3D, Biotech",ODS 12 – Producción y consumo responsables,Ambiental,100 kg CO2 ahorrados por kg de carne alt. (aprox),Internacional,"Consumidores flexitarianos/vegetarianos, restauración",N/D,Growth,~0.25 M€,Giuseppe Scionti (CEO),novameat.com,ElReferente
31,Nucaps,"Empresa biotecnológica que ofrece nanoencapsulación natural de ingredientes bioactivos y probióticos. Sus nanocápsulas y biocápsulas facilitan añadir probióticos, vitaminas y compuestos bioactivos a alimentos y suplementos, mejorando su estabilidad y absorción.",Navarra (Navarra),2017,Foodtech/Biotech,Encapsulación nutracéutica,Nanotecnología alimentaria,ODS 3 – Salud y bienestar,Social,Mejor absorción de nutrientes (evidencias laboratorio),Internacional,"Industria alimentaria, nutrición y farmacéutica",~30% equipo mujeres (estim.),Scaleup,~2.0 M€,Ivan Díaz (CEO),nucapsnanotechnology.com,Otros
32,Biome Makers,"Plataforma de análisis de suelo agrícola mediante ADN microbiano. Combina secuenciación genética y big data para evaluar la salud del suelo, biodiversidad microbiana y ofrecer recomendaciones de gestión sostenible a agricultores.",Castilla y León (Valladolid),2015,Agrotech/Biotech,Microbioma del suelo,"Secuenciación ADN, Big Data",ODS 15 – Vida de ecosistemas terrestres,Ambiental,120k muestras de suelo analizadas (global),Internacional,"Viñedos, productores agrícolas (16 países)",N/D,Scaleup,~15 M€,Alberto Acedo (Co-CEO),biomemakers.com,ElReferente
33,Ekonoke,"Empresa de cultivo indoor de lúpulo en entornos controlados, permitiendo producir lúpulo de alta calidad durante todo el año de forma sostenible. Emplea iluminación LED, hidroponía y control climático para suministrar lúpulo local a cerveceras craft.",Comunidad de Madrid,2018,Agrotech,Indoor farming (lúpulo),"Hidroponía, Control climático","ODS 9 – Industria, innovación e infraestructura",Ambiental,95% menos agua vs. cultivo tradicional de lúpulo,Nacional,Cerveceras artesanales y grandes cerveceras,50% co-fundadoras mujeres,Growth,~4.2 M€,María Corrales (Co-CEO),ekonoke.com,ElReferente
34,Consentio,"Plataforma digital B2B para comercialización de productos frescos. Digitaliza las transacciones entre productores, mayoristas y minoristas de frutas y verduras, ofreciendo gestión de pedidos, precios en tiempo real y reducción de desperdicios en la cadena.",Cataluña (Barcelona),2017,Foodtech,Marketplace agrícola,Plataforma B2B,ODS 8 – Trabajo decente y crecimiento económico,Económico,30% reducción tiempo gestión pedidos,Internacional,"Productores hortofrutícolas, mayoristas y supermercados",N/D,Growth,~4.5 M€,Baptiste Jourdan (Co-CEO),consentio.co,ElReferente
35,Spherag,"Sistema IoT de riego inteligente: ofrece control remoto y automatización de válvulas de riego agrícola mediante sensores y plataforma cloud. Permite a los agricultores programar riegos óptimos, ahorrando agua y energía, e integrando datos meteorológicos.",Cataluña (Barcelona),2019,Agrotech,Agricultura de precisión,"IoT, Cloud, IA",ODS 6 – Agua limpia y saneamiento,Ambiental,30-50% ahorro de agua en fincas usuarias,Internacional,Agricultores de cultivos de regadío,N/D,Growth,~3.0 M€,Pau Segalés (CEO),spherag.com,ElReferente
36,Oscillum,"Ha desarrollado biosensores inteligentes para detectar frescura en alimentos (ej. etiquetas que cambian de color según el estado de la carne o pescado). Sus sensores químicos detectan compuestos de descomposición, ayudando a reducir desperdicio y mejorar seguridad alimentaria.",Comunitat Valenciana (Alicante),2019,Foodtech/Biotech,Sensores de frescura,"Química analítica, IoT",ODS 12 – Producción y consumo responsables,Ambiental,Vida útil +2 días promedio en carnes monitorizadas,Nacional,"Industria cárnica, supermercados",N/D,Growth,~1.0 M€,Analía Plaza (CMO),oscillum.com,Otros
37,Trazable,"Plataforma blockchain para trazabilidad alimentaria. Permite a productores y elaboradores registrar y compartir datos de cada lote (origen, procesos, certificaciones) de forma transparente, mejorando la confianza del consumidor y eficiencia de auditorías.",Comunitat Valenciana (Valencia),2018,Foodtech,Trazabilidad (Blockchain),"Blockchain, QR",ODS 12 – Producción y consumo responsables,Social/Económico,+50 empresas agroalimentarias usan la plataforma,Nacional,Consumidores (transparencia) y marcas alimentarias,N/D,Growth,~0.25 M€,Joaquín Carrión (CEO),trazable.io,Otros
38,EthicHub,"Plataforma de finanzas colaborativas (DeFi) que conecta pequeños agricultores sin acceso a crédito con inversores globales a través de blockchain. Permite financiar cultivos (ej. café, cacao) mediante préstamos colectivos con impacto social (mejorando ingresos rurales).",Comunidad de Madrid,2018,Social FinTech,Finanzas agrarias,Blockchain (crowdlending),ODS 1 – Fin de la pobreza,Social/Económico,>500 agricultores financiados (Latam),Internacional,Pequeños productores rurales (LatAm),CEO mujer (50% equipo),Growth,N/D,Jori Armbruster (CEO),ethichub.com,Intelectium
39,Heura Foods,"Marca líder de carne vegetal española. Ofrece análogos 100% vegetales de pollo, ternera, etc., ricos en proteína. Su misión es acelerar la transición proteica combinando innovación alimentaria y activismo. Presente en supermercados de más de 20 países (Marc Coloma, CEO, es inversor en Gloop).",Cataluña (Barcelona),2017,Foodtech,Proteína alternativa,Alimentos plant-based,ODS 13 – Acción por el clima,Ambiental,"3,000 ton CO2 evitadas (vs carne 2022, estimado)",Internacional,Consumidores veganos/flexitarianos,~45% equipo mujeres,Scaleup,~20 M€,Marc Coloma (CEO),heurafoods.com,ElReferente
40,Cubiq Foods,Empresa foodtech que desarrolla grasas vegetales y cultivadas para sustituir aceite de palma y grasas animales en alimentos. Ha creado grasa saludable a base de aceite de oliva microencapsulado (omegallig) y trabaja en grasa cultivada celular para alt-meat.,Cataluña (Barcelona),2018,Foodtech/Biotech,Ingrediente (grasa saludable),"Microencapsulación, cultivo celular",ODS 3 – Salud y bienestar,Ambiental/Salud,– (Reducción saturadas en productos hasta 50%),Internacional,"Industria alimentaria (cárnicos alternativos, panadería)",CFO mujer (co-founder),Growth,~10 M€,Andrés Montefeltro (CEO),cubiqfoods.com,Intelectium
41,BioTech Foods,"Primera empresa española de carne cultivada (obtenida a partir de células animales). Produce proteínas cultivadas (marca Ethicameat) para elaborar embutidos y carne sin sacrificio animal, con apoyo de socios industriales. Adquirida parcialmente por JBS en 2021.",País Vasco (Guipúzcoa),2017,Foodtech/Biotech,Cultivo celular cárnico,"Cultivo celular, biorreactores","ODS 9 – Industria, innovación e infraestructura",Ambiental,– (Emisiones y tierra reducidas vs ganadería),Internacional,"Industria cárnica, consumidores conscientes",~30% equipo I+D femenino,Growth,N/D,Iñigo Charola (CEO),biotechfoods.com,ElReferente
42,Innomy,"Startup que utiliza micelio de hongos para desarrollar alternativas cárnicas sostenibles. Emplea fermentación fúngica para crear estructuras cárnicas ricas en proteína, con textura y sabor agradables, como sustitutos de pollo o pescado basados en hongos.",País Vasco (Bizkaia),2020,Foodtech/Biotech,Proteína alternativa,Fermentación fúngica,ODS 12 – Producción y consumo responsables,Ambiental,– (Baja huella hídrica y de CO2 frente a carne),Nacional,"Consumidores veganos/flexitarianos, industria alimentaria",N/D,MVP,~0.25 M€,G. Palacios (CEO),innomy.es,Otros
43,Tebrio,"Empresa pionera en cría industrial de insectos (Tenebrio molitor) para obtener proteína sostenible para piensos, fertilizantes orgánicos y bio-materiales. Opera en Salamanca una de las mayores fábricas de insectos de Europa, contribuyendo a economía circular y alimentación animal sostenible.",Castilla y León (Salamanca),2014,Agrotech,Proteína de insecto,"Cría de insectos, Bioprocesos",ODS 12 – Producción y consumo responsables,Ambiental,1000 ton/año capacidad proteína insecto (objetivo),Internacional,"Sector acuicultura, ganadería (piensos), agricultura (fertilizantes)",35% mujeres (aprox.),Scaleup,2.7 M€,Adriana Casillas (CEO),tebrio.com,Forbes
44,Insekt Label Biotech,"Fabrica harinas y aceites a partir de insectos (Hermetia illucens) para nutrición animal y bioproductos agrícolas. Ubicada en Aragón, su tecnología convierte residuos orgánicos en alimento para larvas de insecto, que luego se procesan en proteína para pienso y enmiendas para suelos.",Aragón (Zaragoza),2018,Agrotech,Proteína de insecto,"Cría de insectos, Economía circular",ODS 12 – Producción y consumo responsables,Ambiental,– (Residuos orgánicos valorizados en proteína),Nacional,"Sector feed (avicultura, porcino) y fertilizantes orgánicos",N/D,Growth,~0.5 M€,Daniel García (CEO),insektlabel.com,Otros
45,Recircular,"Plataforma colaborativa que ayuda a las empresas a dar una segunda vida a sus residuos industriales. Informa de oportunidades de valorización de residuos y conecta empresas generadoras con otras que pueden usarlos como materia prima, fomentando la economía circular.",País Vasco (Bizkaia),2018,Sostenibilidad,Marketplace residuos,Plataforma web,ODS 12 – Producción y consumo responsables,Ambiental/Social,+100 casos de simbiosis industrial logrados,Nacional,Empresas industriales (distintos sectores),CEO mujer (Patricia Astrain),Growth,N/D,Patricia Astrain (CEO),recircular.net,ElReferente
46,Auara,"Empresa social que vende agua embotellada en envases 100% reciclados para financiar proyectos de acceso a agua potable en países en desarrollo. Invierten el 100% de dividendos en instalaciones de agua (pozos, depósitos) en comunidades necesitadas (ejemplo de economía circular social).",Comunidad de Madrid,2016,Impacto Social,Acceso a agua potable,B2C (producto solidario),ODS 6 – Agua limpia y saneamiento,Social/Ambiental,+50 proyectos de agua en 17 países (impacto Auara),Internacional,"Comunidades rurales sin acceso a agua (África, Asia)",30% mujeres,Growth,~0.5 M€,Antonio Espinosa (CEO),auara.org,Otros
47,ClimateTrade,"Plataforma blockchain española líder para compensación de huella de carbono. Permite a empresas calcular sus emisiones y conectar con proyectos de energías renovables, reforestación, etc., para comprar créditos de carbono de forma transparente, financiando así iniciativas sostenibles globales.",Comunitat Valenciana (Valencia),2018,Sostenibilidad,Financiación climática,"Blockchain, Marketplace CO₂",ODS 13 – Acción por el clima,Ambiental,+1 MtCO₂ compensadas a través de la plataforma,Internacional,Corporaciones y pymes con compromisos Net Zero,~40% mujeres,Growth,~7 M€,Francisco Benedito (CEO),climatetrade.com,Otros
48,Bioo,Startup biotech que genera energía eléctrica a partir de la tierra: ha desarrollado una batería biológica que aprovecha las reacciones del metabolismo de microorganismos del suelo para producir electricidad suficiente para sensores agrícolas o iluminación de jardines.,Cataluña (Barcelona),2015,Sostenibilidad,Bioenergía agrícola,"Batería biológica, IoT",ODS 7 – Energía asequible y no contaminante,Ambiental,1ª instalación de jardín biotecnológico en Europa (IBERS),Internacional,"Agricultura (sensores off-grid), smart cities",CTO mujer (Larissa B.),Growth,~2.0 M€,Pablo Vidarte (CEO),bioo.tech,Forbes
49,CO2 Revolution,"Combina drones, Big Data e IA para reforestación masiva. Identifica terrenos degradados y realiza siembra aérea de semillas inteligentes (recubiertas para asegurar germinación) a gran escala. Permite reforestar hasta 100 ha por día con drones, restaurando ecosistemas y capturando CO₂.",Navarra (Navarra),2018,Sostenibilidad,Reforestación con drones,"Drones, Big Data, GIS",ODS 15 – Vida de ecosistemas terrestres,Ambiental,1 millón de árboles plantados (objetivo próximo),Nacional,"Bosques quemados, áreas deforestadas",N/D,Growth,~0.5 M€,Javier Sanz (CEO),co2revolution.es,Expansion
50,Sheedo,"Fabricante de papel sostenible con semillas incrustadas (papel plantable). Sus productos (tarjetas, invitaciones, packaging) se pueden plantar tras su uso, germinando en flores o hierbas. Promueve marketing ecológico y sensibilización medioambiental a través de la economía circular.",Comunidad de Madrid,2016,Sostenibilidad,Papel plantable,Eco-diseño de materiales,ODS 12 – Producción y consumo responsables,Ambiental,+15 ton de papel reciclado con semillas vendido,Nacional,"Empresas (material promocional eco), consumidores",50% fundadoras,Growth,~0.2 M€,Gonzalo M. & Gala F. (Co-CEOs),sheedostudio.com,ElReferente
51,Sorbos,"Pionera en pajitas comestibles y biodegradables con sabores. Alternativa sostenible a las pajitas de plástico: hechas de azúcar glas y edulcorantes naturales, duran >40 min en bebida fría sin deshacerse. Exporta millones de unidades, ayudando a reducir residuos plásticos en hostelería.",Cataluña (Barcelona),2017,Foodtech,Packaging sostenible,Edible packaging (pajitas),ODS 14 – Vida submarina (sin plásticos al océano),Ambiental,"30 millones de pajitas vendidas (2021, 60 países)",Internacional,"Sector HORECA global (cadenas hoteleras, cruceros)",CEO mujer (A. Espín),Scaleup,N/D,Víctor Sánchez (COO),wearesorbos.com,Otros
52,Bee2FireDetection,"Solución de detección temprana de incendios forestales mediante IA y sensores. Desarrollada en Galicia, utiliza visión artificial en cámaras de vigilancia forestal para identificar humos o llamas incipientes con alta precisión, alertando a los servicios de extinción antes de que el fuego se propague.",Galicia (Ourense),2017,Sostenibilidad,Prevención incendios,"Visión artificial, IoT",ODS 15 – Vida de ecosistemas terrestres,Ambiental,<10 min tiempo detección promedio focos (pilot),Nacional,"Administraciones forestales, industrias forestales",N/D,Growth,~0.3 M€,Manuel Antonio (CEO),bee2fire.com,Otros
